id,medicament_id,frequence,effet
79811,5682,Fréquents (1 à 10 % des personnes),fatigue
79812,5682,Fréquents (1 à 10 % des personnes),malaise
79813,5682,Fréquents (1 à 10 % des personnes),crampes
79814,5682,Fréquents (1 à 10 % des personnes),douleurs musculaires
79815,5682,Fréquents (1 à 10 % des personnes),élévation du taux de potassium dans le sang.
79816,5682,Réaction allergique,éruption cutanée
79817,5682,Réaction allergique,démangeaisons
79818,5682,Réaction allergique,œdème de Quincke.
79819,5682,"Peu fréquents (0,1 à 1 % des personnes)",palpitations
79820,5682,"Peu fréquents (0,1 à 1 % des personnes)",œdèmes
79821,5682,"Peu fréquents (0,1 à 1 % des personnes)",vertiges
79822,5682,"Peu fréquents (0,1 à 1 % des personnes)",fourmillements
79823,5682,"Peu fréquents (0,1 à 1 % des personnes)",perte ou modification du goût
79824,5682,"Peu fréquents (0,1 à 1 % des personnes)",anxiété
79825,5682,"Peu fréquents (0,1 à 1 % des personnes)",nervosité inhabituelle
79826,5682,"Peu fréquents (0,1 à 1 % des personnes)",humeur dépressive
