id,medicament_id,frequence,effet
79479,5673,"Rares (moins de 0,1 % des personnes)",agranulocytose
79480,5673,"Rares (moins de 0,1 % des personnes)",tremblements
79481,5673,"Rares (moins de 0,1 % des personnes)",bourdonnement d'oreilles.
79482,5674,Fréquents (1 à 10 % des personnes),toux sèche persistante
79483,5674,Fréquents (1 à 10 % des personnes),sinusite
79484,5674,Fréquents (1 à 10 % des personnes),essoufflement
79485,5674,Fréquents (1 à 10 % des personnes),baisse excessive de la tension artérielle (voir Attention)
79486,5674,Fréquents (1 à 10 % des personnes),hypotension orthostatique
79487,5674,Fréquents (1 à 10 % des personnes),nausées
79488,5674,Fréquents (1 à 10 % des personnes),vomissements
79489,5674,Fréquents (1 à 10 % des personnes),diarrhée
79490,5674,Fréquents (1 à 10 % des personnes),douleurs digestives
79491,5674,Fréquents (1 à 10 % des personnes),maux de tête
79492,5674,Fréquents (1 à 10 % des personnes),étourdissement
79493,5674,Fréquents (1 à 10 % des personnes),fatigue
79494,5674,Fréquents (1 à 10 % des personnes),malaise
79495,5674,Fréquents (1 à 10 % des personnes),crampes
79496,5674,Fréquents (1 à 10 % des personnes),douleurs musculaires
79497,5674,Fréquents (1 à 10 % des personnes),élévation du taux de potassium dans le sang.
79498,5674,Réaction allergique,éruption cutanée
79499,5674,Réaction allergique,démangeaisons
79500,5674,Réaction allergique,œdème de Quincke.
79501,5674,"Peu fréquents (0,1 à 1 % des personnes)",palpitations
79502,5674,"Peu fréquents (0,1 à 1 % des personnes)",œdèmes
79503,5674,"Peu fréquents (0,1 à 1 % des personnes)",vertiges
79504,5674,"Peu fréquents (0,1 à 1 % des personnes)",fourmillements
79505,5674,"Peu fréquents (0,1 à 1 % des personnes)",perte ou modification du goût
79506,5674,"Peu fréquents (0,1 à 1 % des personnes)",anxiété
79507,5674,"Peu fréquents (0,1 à 1 % des personnes)",nervosité inhabituelle
79508,5674,"Peu fréquents (0,1 à 1 % des personnes)",humeur dépressive
79509,5674,"Peu fréquents (0,1 à 1 % des personnes)",somnolence
79510,5674,"Peu fréquents (0,1 à 1 % des personnes)",nez bouché
79511,5674,"Peu fréquents (0,1 à 1 % des personnes)",constipation
79512,5674,"Peu fréquents (0,1 à 1 % des personnes)",brûlures d'estomac
79513,5674,"Peu fréquents (0,1 à 1 % des personnes)",bouche sèche
79514,5674,"Peu fréquents (0,1 à 1 % des personnes)",perte d'appétit
79515,5674,"Peu fréquents (0,1 à 1 % des personnes)",bouffées de chaleur
79516,5674,"Peu fréquents (0,1 à 1 % des personnes)",transpiration excessive
79517,5674,"Peu fréquents (0,1 à 1 % des personnes)",vision trouble
79518,5674,"Peu fréquents (0,1 à 1 % des personnes)",douleurs articulaires
79519,5674,"Peu fréquents (0,1 à 1 % des personnes)",baisse de la libido
79520,5674,"Peu fréquents (0,1 à 1 % des personnes)",augmentation du volume des urines
79521,5674,"Peu fréquents (0,1 à 1 % des personnes)",pancréatite
79522,5674,"Peu fréquents (0,1 à 1 % des personnes)",élévation des transaminases.
79523,5674,"Rares (moins de 0,1 % des personnes)",anomalie de la numération formule sanguine
79524,5674,"Rares (moins de 0,1 % des personnes)",agranulocytose
79525,5674,"Rares (moins de 0,1 % des personnes)",tremblements
79526,5674,"Rares (moins de 0,1 % des personnes)",bourdonnement d'oreilles.
79527,5675,Fréquents (1 à 10 % des personnes),toux sèche persistante
79528,5675,Fréquents (1 à 10 % des personnes),sinusite
79529,5675,Fréquents (1 à 10 % des personnes),essoufflement
79530,5675,Fréquents (1 à 10 % des personnes),baisse excessive de la tension artérielle (voir Attention)
79531,5675,Fréquents (1 à 10 % des personnes),hypotension orthostatique
79532,5675,Fréquents (1 à 10 % des personnes),nausées
79533,5675,Fréquents (1 à 10 % des personnes),vomissements
79534,5675,Fréquents (1 à 10 % des personnes),diarrhée
79535,5675,Fréquents (1 à 10 % des personnes),douleurs digestives
79536,5675,Fréquents (1 à 10 % des personnes),maux de tête
79537,5675,Fréquents (1 à 10 % des personnes),étourdissement
79538,5675,Fréquents (1 à 10 % des personnes),fatigue
79539,5675,Fréquents (1 à 10 % des personnes),malaise
79540,5675,Fréquents (1 à 10 % des personnes),crampes
79541,5675,Fréquents (1 à 10 % des personnes),douleurs musculaires
79542,5675,Fréquents (1 à 10 % des personnes),élévation du taux de potassium dans le sang.
79543,5675,Réaction allergique,éruption cutanée
79544,5675,Réaction allergique,démangeaisons
79545,5675,Réaction allergique,œdème de Quincke.
79546,5675,"Peu fréquents (0,1 à 1 % des personnes)",palpitations
79547,5675,"Peu fréquents (0,1 à 1 % des personnes)",œdèmes
79548,5675,"Peu fréquents (0,1 à 1 % des personnes)",vertiges
79549,5675,"Peu fréquents (0,1 à 1 % des personnes)",fourmillements
79550,5675,"Peu fréquents (0,1 à 1 % des personnes)",perte ou modification du goût
79551,5675,"Peu fréquents (0,1 à 1 % des personnes)",anxiété
79552,5675,"Peu fréquents (0,1 à 1 % des personnes)",nervosité inhabituelle
79553,5675,"Peu fréquents (0,1 à 1 % des personnes)",humeur dépressive
79554,5675,"Peu fréquents (0,1 à 1 % des personnes)",somnolence
79555,5675,"Peu fréquents (0,1 à 1 % des personnes)",nez bouché
79556,5675,"Peu fréquents (0,1 à 1 % des personnes)",constipation
79557,5675,"Peu fréquents (0,1 à 1 % des personnes)",brûlures d'estomac
79558,5675,"Peu fréquents (0,1 à 1 % des personnes)",bouche sèche
79559,5675,"Peu fréquents (0,1 à 1 % des personnes)",perte d'appétit
79560,5675,"Peu fréquents (0,1 à 1 % des personnes)",bouffées de chaleur
79561,5675,"Peu fréquents (0,1 à 1 % des personnes)",transpiration excessive
79562,5675,"Peu fréquents (0,1 à 1 % des personnes)",vision trouble
79563,5675,"Peu fréquents (0,1 à 1 % des personnes)",douleurs articulaires
79564,5675,"Peu fréquents (0,1 à 1 % des personnes)",baisse de la libido
79565,5675,"Peu fréquents (0,1 à 1 % des personnes)",augmentation du volume des urines
79566,5675,"Peu fréquents (0,1 à 1 % des personnes)",pancréatite
79567,5675,"Peu fréquents (0,1 à 1 % des personnes)",élévation des transaminases.
79568,5675,"Rares (moins de 0,1 % des personnes)",anomalie de la numération formule sanguine
79569,5675,"Rares (moins de 0,1 % des personnes)",agranulocytose
79570,5675,"Rares (moins de 0,1 % des personnes)",tremblements
79571,5675,"Rares (moins de 0,1 % des personnes)",bourdonnement d'oreilles.
79572,5676,Fréquents (1 à 10 % des personnes),toux sèche persistante
79573,5676,Fréquents (1 à 10 % des personnes),sinusite
79574,5676,Fréquents (1 à 10 % des personnes),essoufflement
79575,5676,Fréquents (1 à 10 % des personnes),baisse excessive de la tension artérielle (voir Attention)
79576,5676,Fréquents (1 à 10 % des personnes),hypotension orthostatique
79577,5676,Fréquents (1 à 10 % des personnes),nausées
79578,5676,Fréquents (1 à 10 % des personnes),vomissements
