id,medicament_id,nom_substance
9434,4142,Acide niflumique
9435,4142,Morniflumate
9436,4142,morniflumate
9437,4142,acide niflumique
9438,4143,Nifédipine
9439,4143,Lidocaïne chlorhydrate
9440,4143,nifédipine
9441,4143,lidocaïne chlorhydrate
9442,4145,Nifédipine
9443,4145,nifédipine
9444,4146,Nifédipine
9445,4146,nifédipine
9446,4147,Nifédipine
9447,4147,nifédipine
9448,4148,Nicotine
9449,4148,nicotine résinate
9450,4149,Nicotine libérée/24 h
9451,4149,nicotine
9452,4149,nicotine résinate
9453,4150,Nicotine
9454,4150,nicotine résinate
9455,4151,Nicotine libérée/24 h
9456,4151,nicotine
9457,4152,Nicotine
9458,4152,nicotine polacriline
9459,4152,nicotine
9460,4152,nicotine tartrate dihydrate
9461,4153,nicotinamide
9462,4154,tabacum [H]
9463,4154,nux vomica [H]
9464,4154,aurum metallicum [H]
9465,4154,passiflora incarnata [H]
9466,4154,agnus castus [H]
9467,4154,lobelia inflata [H]
9468,4155,Nicotine libérée/16 h
9469,4155,nicotine
9470,4156,Nicotine
9471,4156,nicotine
9472,4157,Nicotine
9473,4157,nicotine bétadex
