id,medicament_id,description
76,24,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
77,24,grossesse ;
78,24,allaitement.
79,26,"insuffisance hépatique ou transaminases élevées,"
80,26,"en association avec les médicaments contenant l'association glécaprévir/pibrentasvir,"
81,26,"femme en âge de procréer sans contraception efficace,"
82,26,"grossesse,"
83,26,allaitement.
84,27,"insuffisance hépatique ou transaminases élevées,"
85,27,"en association avec les médicaments contenant l'association glécaprévir/pibrentasvir,"
86,27,"femme en âge de procréer sans contraception efficace,"
87,27,"grossesse,"
88,27,allaitement.
89,28,"insuffisance hépatique ou transaminases élevées,"
90,28,"en association avec les médicaments contenant l'association glécaprévir/pibrentasvir,"
91,28,"femme en âge de procréer sans contraception efficace,"
92,28,"grossesse,"
93,28,allaitement.
94,29,"insuffisance hépatique ou transaminases élevées,"
95,29,"en association avec les médicaments contenant l'association glécaprévir/pibrentasvir,"
96,29,"femme en âge de procréer sans contraception efficace,"
97,29,"grossesse,"
98,29,allaitement.
99,30,"insuffisance hépatique ou transaminases élevées,"
100,30,"grossesse,"
101,30,allaitement.
102,31,"insuffisance hépatique ou transaminases élevées,"
103,31,"grossesse,"
104,31,allaitement.
105,32,"insuffisance hépatique ou transaminases élevées,"
106,32,"grossesse,"
107,32,allaitement.
108,33,"insuffisance hépatique ou transaminases élevées,"
109,33,"grossesse,"
110,33,allaitement.
111,34,"insuffisance hépatique ou transaminases élevées,"
112,34,"grossesse,"
113,34,allaitement.
114,35,"insuffisance hépatique ou transaminases élevées,"
115,35,"grossesse,"
116,35,allaitement.
117,36,"insuffisance hépatique ou transaminases élevées,"
118,36,"grossesse,"
119,36,allaitement.
120,37,"insuffisance hépatique ou transaminases élevées,"
121,37,"grossesse,"
122,37,allaitement.
123,38,"insuffisance hépatique ou transaminases élevées,"
124,38,"grossesse,"
125,38,allaitement.
126,39,"insuffisance hépatique ou transaminases élevées,"
127,39,"grossesse,"
128,39,allaitement.
129,40,"insuffisance hépatique ou transaminases élevées,"
130,40,"grossesse,"
131,40,allaitement.
132,41,"insuffisance hépatique ou transaminases élevées,"
133,41,"grossesse,"
134,41,allaitement.
135,42,"insuffisance hépatique ou transaminases élevées,"
136,42,"grossesse,"
137,42,allaitement.
138,43,"insuffisance hépatique ou transaminases élevées,"
139,43,"grossesse,"
140,43,allaitement.
141,46,Ce médicament ne doit pas être utilisé chez l'enfant de moins de 6 ans.
142,48,"ulcère de l'estomac ou du duodénum en cours,"
143,48,phéochromocytome.
144,49,"infection dans ou autour de l'œil,"
